train_partseg.py:37: YAMLLoadWarning: calling yaml.load() without Loader=... is deprecated, as the default Loader is unsafe. Please read https://msg.pyyaml.org/load for full details.
  config = yaml.load(f)

**************************

[workers]: 4

[num_points]: 2048

[num_classes]: 50

[batch_size]: 28

[base_lr]: 0.001

[lr_clip]: 1e-05

[lr_decay]: 0.5

[decay_step]: 50

[epochs]: 500

[weight_decay]: 0

[bn_momentum]: 0.9

[bnm_clip]: 0.01

[bn_decay]: 0.5

[evaluate]: 1

[val_freq_epoch]: 10

[print_freq_iter]: 20

[input_channels]: 0

[relation_prior]: 1

[checkpoint]: 

[save_path]: seg

[data_root]: /media/disk3/pyy/Relation-Shape-CNN/shapenetcore_partanno_segmentation_benchmark_v0_normal

**************************

****** Airplane: 0.128481
****** Bag: 0.325735
****** Cap: 0.367077
****** Car: 0.240644
****** Chair: 0.260392
****** Earphone: 0.168271
****** Guitar: 0.075967
****** Knife: 0.251724
****** Lamp: 0.472782
****** Laptop: 0.271352
****** Motorbike: 0.081264
****** Mug: 0.486437
****** Pistol: 0.237157
****** Rocket: 0.072401
****** Skateboard: 0.070701
****** Table: 0.052911
************ Test Loss: 4.683262
************ Class_mIoU: 0.222706
************ Instance_mIoU: 0.190345
****** Airplane: 0.129159
****** Bag: 0.448574
****** Cap: 0.364813
****** Car: 0.240502
****** Chair: 0.260115
****** Earphone: 0.205032
****** Guitar: 0.075009
****** Knife: 0.252298
****** Lamp: 0.477330
****** Laptop: 0.271005
****** Motorbike: 0.168816
****** Mug: 0.486212
****** Pistol: 0.237286
****** Rocket: 0.070719
****** Skateboard: 0.412127
****** Table: 0.053737
************ Test Loss: 3.810811
************ Class_mIoU: 0.259546
************ Instance_mIoU: 0.196996
****** Airplane: 0.129153
****** Bag: 0.446882
****** Cap: 0.135210
****** Car: 0.023684
****** Chair: 0.274482
****** Earphone: 0.204043
****** Guitar: 0.075623
****** Knife: 0.251517
****** Lamp: 0.472260
****** Laptop: 0.271526
****** Motorbike: 0.169000
****** Mug: 0.486502
****** Pistol: 0.236506
****** Rocket: 0.070909
****** Skateboard: 0.437017
****** Table: 0.455624
************ Test Loss: 3.921854
************ Class_mIoU: 0.258746
************ Instance_mIoU: 0.306071
****** Airplane: 0.175484
****** Bag: 0.448068
****** Cap: 0.132635
****** Car: 0.021518
****** Chair: 0.310412
****** Earphone: 0.204485
****** Guitar: 0.075590
****** Knife: 0.257840
****** Lamp: 0.472784
****** Laptop: 0.270411
****** Motorbike: 0.168636
****** Mug: 0.486290
****** Pistol: 0.236950
****** Rocket: 0.070652
****** Skateboard: 0.406861
****** Table: 0.455897
************ Test Loss: 3.983501
************ Class_mIoU: 0.262157
************ Instance_mIoU: 0.320194
****** Airplane: 0.067234
****** Bag: 0.448905
****** Cap: 0.135875
****** Car: 0.023499
****** Chair: 0.264194
****** Earphone: 0.238317
****** Guitar: 0.075135
****** Knife: 0.252612
****** Lamp: 0.470239
****** Laptop: 0.270720
****** Motorbike: 0.168388
****** Mug: 0.026708
****** Pistol: 0.149928
****** Rocket: 0.070909
****** Skateboard: 0.146978
****** Table: 0.452185
************ Test Loss: 3.898131
************ Class_mIoU: 0.203864
************ Instance_mIoU: 0.284593
****** Airplane: 0.224477
****** Bag: 0.448853
****** Cap: 0.134965
****** Car: 0.242252
****** Chair: 0.310333
****** Earphone: 0.300991
****** Guitar: 0.075459
****** Knife: 0.251068
****** Lamp: 0.469600
****** Laptop: 0.275880
****** Motorbike: 0.168866
****** Mug: 0.026823
****** Pistol: 0.017082
****** Rocket: 0.071506
****** Skateboard: 0.163711
****** Table: 0.457534
************ Test Loss: 3.523467
************ Class_mIoU: 0.227462
************ Instance_mIoU: 0.326677
****** Airplane: 0.224224
****** Bag: 0.448469
****** Cap: 0.134122
****** Car: 0.242310
****** Chair: 0.295327
****** Earphone: 0.211147
****** Guitar: 0.075574
****** Knife: 0.253098
****** Lamp: 0.475343
****** Laptop: 0.253018
****** Motorbike: 0.165700
****** Mug: 0.026958
****** Pistol: 0.235455
****** Rocket: 0.072456
****** Skateboard: 0.147986
****** Table: 0.457026
************ Test Loss: 3.844585
************ Class_mIoU: 0.232388
************ Instance_mIoU: 0.325480
****** Airplane: 0.223383
****** Bag: 0.427612
****** Cap: 0.134810
****** Car: 0.242197
****** Chair: 0.311052
****** Earphone: 0.203555
****** Guitar: 0.074876
****** Knife: 0.251416
